total  ,  65196411
average log, 5.81028
test000,745390
test001,524522
test002,654099
test003,603001
test004,611465
test005,699317
test006,499706
test007,597280
test008,752828
test009,705742
test010,721862
test011,459202
test012,781103
test013,662977
test014,707231
test015,706886
test016,517730
test017,518274
test018,634146
test019,717274
test020,739444
test021,581992
test022,729253
test023,537004
test024,624122
test025,677230
test026,553897
test027,656489
test028,805961
test029,573625
test030,529549
test031,669018
test032,674584
test033,778818
test034,787969
test035,790493
test036,599762
test037,550089
test038,622990
test039,650803
test040,595745
test041,697702
test042,615385
test043,674391
test044,506769
test045,730792
test046,632555
test047,657973
test048,618352
test049,625810
test050,627921
test051,645276
test052,704859
test053,780245
test054,660849
test055,481126
test056,556189
test057,694097
test058,694719
test059,739260
test060,757720
test061,723630
test062,765347
test063,543613
test064,601067
test065,687648
test066,667259
test067,511628
test068,724392
test069,664067
test070,689594
test071,781304
test072,660321
test073,697469
test074,559671
test075,746260
test076,597518
test077,574582
test078,585437
test079,727536
test080,733890
test081,686941
test082,796522
test083,695172
test084,551214
test085,726455
test086,564026
test087,473593
test088,572162
test089,591849
test090,744504
test091,676056
test092,674350
test093,579379
test094,794979
test095,586683
test096,669199
test097,525235
test098,809903
test099,585094
